"Unique Key","Created Date","Closed Date","Agency","Agency Name","Complaint Type","Descriptor","Location Type","Incident Zip","Incident Address","Street Name","Cross Street 1","Cross Street 2","Intersection Street 1","Intersection Street 2","Address Type","City","Landmark","Facility Type","Status","Due Date","Resolution Description","Resolution Action Updated Date","Community Board","BBL","Borough","X Coordinate (State Plane)","Y Coordinate (State Plane)","Open Data Channel Type","Park Facility Name","Park Borough","Vehicle Type","Taxi Company Borough","Taxi Pick Up Location","Bridge Highway Name","Bridge Highway Direction","Road Ramp","Bridge Highway Segment","Latitude","Longitude","Location"
"66808636","11/12/2025 04:22:56 PM",,"DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10019","39 WEST   56 STREET","WEST   56 STREET","5 AVENUE","AVENUE OF THE AMERICAS","5 AVENUE","AVENUE OF THE AMERICAS","ADDRESS","NEW YORK","WEST   56 STREET",,"In Progress",,,,"05 MANHATTAN","1012720014","MANHATTAN","990,950","217,212","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.76287066658","-73.9758139626","(40.76287066658358, -73.97581396259524)"
"66779248","11/09/2025 08:57:15 PM","11/10/2025 09:28:13 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Loft Building","Loft Building - Common Areas","11224","2930 WEST   30 STREET","WEST   30 STREET","MERMAID AVENUE","SURF AVENUE","MERMAID AVENUE","SURF AVENUE","ADDRESS","BROOKLYN","WEST   30 STREET",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","11/10/2025 09:28:13 AM","13 BROOKLYN","3070500001","BROOKLYN","985,326","148,262","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.57362084546","-73.99612679984","(40.57362084545696, -73.9961267998414)"
"66777144","11/09/2025 07:32:43 AM","11/10/2025 09:41:58 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11694","345 ROCKAWAY BEACH","ROCKAWAY BEACH","BROOKVILLE BOULEVARD","1 STREET","BROOKVILLE BOULEVARD","1 STREET","ADDRESS","FAR ROCKAWAY","ROCKAWAY BOULEVARD",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","11/10/2025 09:41:58 AM","14 QUEENS","4162860101","QUEENS","1,024,706","147,274","ONLINE","Unspecified","QUEENS",,,,,,,,"40.57081674495","-73.85437947966","(40.57081674495128, -73.85437947966363)"
"66762179","11/07/2025 07:38:18 AM","11/07/2025 11:18:33 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10312","3230 RICHMOND AVENUE","RICHMOND AVENUE","ARTHUR KILL ROAD","WAINWRIGHT AVENUE","ARTHUR KILL ROAD","WAINWRIGHT AVENUE","ADDRESS","STATEN ISLAND","RICHMOND AVENUE",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","11/07/2025 11:18:33 AM","03 STATEN ISLAND","5200039999","STATEN ISLAND","937,071","143,499","ONLINE","Unspecified","STATEN ISLAND",,,,,,,,"40.56042189582","-74.16979342278","(40.560421895819005, -74.1697934227754)"
"66734831","11/05/2025 10:49:16 AM","11/05/2025 02:04:07 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10019","712 5 AVENUE","5 AVENUE","5 AVENUE","AVENUE OF THE AMERICAS","5 AVENUE","AVENUE OF THE AMERICAS","ADDRESS","NEW YORK","5 AVENUE",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","11/05/2025 02:04:07 PM","05 MANHATTAN","1012710038","MANHATTAN","991,122","217,075","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.76249450484","-73.97519320739","(40.76249450483886, -73.9751932073919)"
"66713191","11/03/2025 01:17:55 PM","11/03/2025 03:27:18 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10036","1580 BROADWAY","BROADWAY","WEST 47 STREET BIKE PATH","WEST 48 STREET","WEST   47 STREET BIKE PATH","WEST   48 STREET","ADDRESS","NEW YORK","BROADWAY",,"Closed",,"The NYC Health Department (DOHMH) Bureau of Child Care received your complaint. To learn more, call them at (646) 632-6101. This service request has been closed. No further updates will be available.","11/03/2025 03:27:18 PM","05 MANHATTAN","1010197501","MANHATTAN","988,410","216,053","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.75969106932","-73.98498371465","(40.75969106931704, -73.98498371464521)"
"66702610","11/02/2025 10:36:36 PM","11/03/2025 07:34:56 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11222","181 ECKFORD STREET","ECKFORD STREET","NASSAU AVENUE","NORMAN AVENUE","NASSAU AVENUE","NORMAN AVENUE","ADDRESS","BROOKLYN","ECKFORD STREET",,"Closed",,"The NYC Health Department (DOHMH) found a service request already exists for the same location. This request has been closed. DOHMH is addressing the original request.","11/03/2025 07:34:56 AM","01 BROOKLYN","3026480011","BROOKLYN","998,179","203,592","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.72547874504","-73.94974652151","(40.72547874504372, -73.94974652151461)"
"66703741","11/02/2025 08:04:33 PM","11/03/2025 08:54:21 AM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11222","181 ECKFORD STREET","ECKFORD STREET","NASSAU AVENUE","NORMAN AVENUE","NASSAU AVENUE","NORMAN AVENUE","ADDRESS","BROOKLYN","ECKFORD STREET",,"Closed",,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","11/03/2025 08:54:21 AM","01 BROOKLYN","3026480011","BROOKLYN","998,179","203,592","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.72547874504","-73.94974652151","(40.72547874504372, -73.94974652151461)"
"66702609","11/02/2025 04:24:03 PM",,"DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","11691","18-19 MOTT AVENUE","MOTT AVENUE","SCOTT A GADELL PLACE","BEACH   18 STREET","SCOTT A GADELL PLACE","BEACH   18 STREET","ADDRESS","FAR ROCKAWAY","MOTT AVENUE",,"In Progress",,,,"14 QUEENS","4155600030","QUEENS","1,053,542","159,043","ONLINE","Unspecified","QUEENS",,,,,,,,"40.60294170627","-73.75046467351","(40.602941706267316, -73.75046467351333)"
"66694309","11/01/2025 02:07:07 AM","11/03/2025 02:53:03 PM","DOHMH","Department of Health and Mental Hygiene","Mold","Public Complaint - Comm Location","Commercial Building","10036","701 7 AVENUE","7 AVENUE","WEST 47 STREET BIKE PATH","WEST 48 STREET","WEST   47 STREET BIKE PATH","WEST   48 STREET","ADDRESS","NEW YORK","7 AVENUE",,"Closed",,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.","11/03/2025 02:53:03 PM","05 MANHATTAN","1010000001","MANHATTAN","988,532","215,908","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.75929302321","-73.98454342556","(40.75929302321256, -73.98454342556364)"
