year,uhf_code,neighborhood,mold_complaints,PM_Avg,NO2_Avg,PM_tertiles,NO2_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles,age_adjusted_asthma_percent,estimated_adults_with_asthma,age_adjusted_ed_rate_per_10k,estimated_annual_ed_visits,ed_rate_per_10k_age_0_4,estimated_annual_ed_visits_age_0_4,ed_rate_per_10k_age_5_17,estimated_annual_ed_visits_age_5_17,poverty_rate,households_below_poverty,statistically_significant
2020,404406,Bayside Little Neck-Fresh Meadows,0,,,,,,,,,11.5,16000.0,,,,,,,,,False
2020,203,Bedford Stuyvesant - Crown Heights,13,6.8607018900000005,16.815878106666666,Medium,High,High,High,Medium,Medium,18.5,43000.0,90.5,2485.0,94.9,220.0,113.1,578.0,21.6,"75,561",False
2020,209,Bensonhurst - Bay Ridge,9,6.5198390808,17.008223228,Medium,Low,High,Medium,Medium,High,8.2,14000.0,10.0,171.0,14.3,19.0,11.5,36.0,14.4,"30,584",True
2020,206,Borough Park,5,6.7008189195,17.053455425,Medium,Medium,Medium,Medium,High,Medium,8.9,21000.0,10.3,249.0,12.5,41.0,11.2,80.0,21.8,"74,370",False
2020,208,Canarsie - Flatlands,12,6.503949178666667,15.778383056666668,Low,Low,Medium,Medium,High,Low,21.4,31000.0,52.4,850.0,50.4,60.0,50.6,168.0,11.6,"24,465",False
2020,302,Central Harlem - Morningside Heights,6,6.94584208,16.735127312,High,High,High,High,Low,High,15.6,19000.0,127.1,1915.0,130.9,134.0,139.9,355.0,23.9,"42,017",False
2020,306308,Chelsea-Village  ,0,,,,,,,,,13.7,26000.0,,,,,,,,,False
2020,210,Coney Island - Sheepshead Bay,30,6.325705208333333,13.846618051666667,Low,Low,High,Medium,Medium,Medium,9.0,20000.0,22.9,527.0,22.5,40.0,25.8,116.0,18.7,"56,090",False
2020,202,Downtown - Heights - Slope,4,7.025132848285714,17.419050984285715,High,High,High,High,High,High,8.3,14000.0,35.7,719.0,23.6,48.0,43.4,135.0,13.7,"36,762",False
2020,207,East Flatbush - Flatbush,12,6.570014110714285,16.274674084285714,Medium,Medium,High,Medium,Medium,Medium,11.2,24000.0,57.1,1350.0,64.7,122.0,64.8,291.0,13.3,"40,259",False
2020,303,East Harlem,4,6.923280592999999,16.915604325,High,High,High,High,Medium,High,26.2,21000.0,148.7,1360.0,136.7,86.0,141.1,238.0,31.9,"35,385",False
2020,204,East New York,13,6.7254786192,17.031255432000002,Medium,Medium,Medium,Medium,High,Medium,23.8,29000.0,94.2,1424.0,108.6,155.0,112.2,423.0,24.3,"49,585",False
2020,403,Flushing - Clearview,4,6.749040717,16.452821654285714,Medium,Medium,Medium,Medium,High,Low,7.4,17000.0,10.4,204.0,28.7,39.0,18.4,58.0,14.1,"36,683",True
2020,103,Fordham - Bronx Pk,6,7.050468078000001,18.593057608333336,High,High,Medium,High,Medium,High,21.5,41000.0,75.6,1550.0,103.1,208.0,86.4,430.0,27.7,"73,579",False
2020,201,Greenpoint,8,7.650541269,20.28321729,High,High,High,Medium,High,Low,8.6,9000.0,25.0,247.0,19.4,23.0,13.1,29.0,17.1,"18,006",True
2020,408,Jamaica,6,6.7183878415,16.734339731666665,Low,Low,Medium,Medium,High,Low,10.1,22000.0,46.3,1191.0,71.1,140.0,48.1,235.0,12.0,"38,955",True
2020,101,Kingsbridge - Riverdale,1,6.745757164333334,15.09095164,High,Medium,High,High,Medium,High,11.6,8000.0,25.4,189.0,48.9,29.0,39.2,49.0,16.2,"14,713",False
