year,uhf_code,neighborhood,age_adjusted_ed_rate_per_10k,estimated_annual_ed_rate_per_10k,estimated_annual_ed_visits
2005,404,Bayside - Little Neck,16.3,15.2,106.0
2005,203,Bedford Stuyvesant - Crown Heights,195.1,197.6,4561.0
2005,209,Bensonhurst - Bay Ridge,25.1,24.8,401.0
2005,206,Borough Park,24.9,24.4,567.0
2005,208,Canarsie - Flatlands,65.2,64.2,945.0
2005,302,Central Harlem - Morningside Heights,286.4,290.6,3556.0
2005,306,Chelsea - Clinton,60.6,57.8,725.0
2005,210,Coney Island - Sheepshead Bay,37.8,35.4,806.0
2005,105,Crotona - Tremont,300.1,306.9,4213.0
2005,202,Downtown - Heights - Slope,97.4,94.6,1650.0
2005,207,East Flatbush - Flatbush,97.5,99.3,2272.0
2005,303,East Harlem,276.5,278.2,2304.0
2005,204,East New York,166.3,171.4,2143.0
2005,403,Flushing - Clearview,21.6,21.1,438.0
2005,103,Fordham - Bronx Pk,151.4,155.4,2762.0
2005,406,Fresh Meadows,38.3,37.7,275.0
2005,307,Gramercy Park - Murray Hill,37.7,34.0,410.0
2005,201,Greenpoint,63.8,59.8,552.0
2005,308,Greenwich Village - SoHo,17.6,17.1,129.0
2005,106,High Bridge - Morrisania,250.7,257.9,3504.0
2005,107,Hunts Point - Mott Haven,280.0,287.4,2518.0
2005,408,Jamaica,90.8,90.9,1931.0
2005,101,Kingsbridge - Riverdale,54.1,52.2,376.0
2005,401,Long Island City - Astoria,54.5,53.1,928.0
2005,310,Lower Manhattan,47.3,45.0,166.0
2005,102,Northeast Bronx,115.7,112.0,1604.0
2005,104,Pelham - Throgs Neck,116.2,117.3,2562.0
2005,501,Port Richmond,117.0,123.3,580.0
2005,405,Ridgewood - Forest Hills,43.3,42.9,837.0
2005,410,Rockaways,96.9,94.8,746.0
2005,504,South Beach - Tottenville,31.9,31.6,448.0
2005,409,Southeast Queens,52.6,51.4,771.0
2005,407,Southwest Queens,56.5,56.6,1126.0
2005,502,Stapleton - St. George,81.3,81.1,740.0
2005,205,Sunset Park,95.6,89.7,826.0
2005,309,Union Square - Lower East Side,70.2,68.5,1172.0
2005,305,Upper East Side,22.1,20.7,397.0
2005,304,Upper West Side,70.3,67.9,1291.0
2005,301,Washington Heights,97.7,98.9,2001.0
2005,402,West Queens,41.6,41.3,1530.0
2005,211,Williamsburg - Bushwick,225.3,224.6,3193.0
2005,503,Willowbrook,36.4,36.0,238.0
2006,404,Bayside - Little Neck,17.4,17.9,125.0
2006,203,Bedford Stuyvesant - Crown Heights,171.0,173.7,4020.0
2006,209,Bensonhurst - Bay Ridge,24.7,24.3,394.0
2006,206,Borough Park,25.5,24.9,579.0
2006,208,Canarsie - Flatlands,78.1,75.7,1113.0
2006,302,Central Harlem - Morningside Heights,274.4,277.5,3439.0
2006,306,Chelsea - Clinton,63.8,59.7,760.0
