year,uhf_code,neighborhood,ed_rate_per_10k_age_0_4,estimated_annual_ed_visits_age_0_4,unstable_estimate
2005,404,Bayside - Little Neck,101.2,43.0,False
2005,203,Bedford Stuyvesant - Crown Heights,686.7,1520.0,False
2005,209,Bensonhurst - Bay Ridge,56.7,67.0,False
2005,206,Borough Park,41.9,125.0,False
2005,208,Canarsie - Flatlands,299.1,350.0,False
2005,302,Central Harlem - Morningside Heights,908.3,921.0,False
2005,306,Chelsea - Clinton,194.9,89.0,False
2005,210,Coney Island - Sheepshead Bay,98.8,164.0,False
2005,105,Crotona - Tremont,877.4,1594.0,False
2005,202,Downtown - Heights - Slope,216.4,308.0,False
2005,207,East Flatbush - Flatbush,312.5,635.0,False
2005,303,East Harlem,785.4,581.0,False
2005,204,East New York,619.3,872.0,False
2005,403,Flushing - Clearview,170.2,236.0,False
2005,103,Fordham - Bronx Pk,508.7,1059.0,False
2005,406,Fresh Meadows,154.6,97.0,False
2005,307,Gramercy Park - Murray Hill,94.7,43.0,False
2005,201,Greenpoint,160.0,162.0,False
2005,308,Greenwich Village - SoHo,58.5,20.0,False
2005,106,High Bridge - Morrisania,1018.6,1750.0,False
2005,107,Hunts Point - Mott Haven,954.1,1059.0,False
2005,408,Jamaica,430.5,775.0,False
2005,101,Kingsbridge - Riverdale,222.1,126.0,False
2005,401,Long Island City - Astoria,224.6,262.0,False
2005,310,Lower Manhattan,98.5,26.0,False
2005,102,Northeast Bronx,413.7,491.0,False
2005,104,Pelham - Throgs Neck,531.9,1083.0,False
2005,501,Port Richmond,374.5,188.0,False
2005,405,Ridgewood - Forest Hills,180.9,260.0,False
2005,410,Rockaways,512.0,422.0,False
2005,504,South Beach - Tottenville,77.5,83.0,False
2005,409,Southeast Queens,310.2,341.0,False
2005,407,Southwest Queens,259.6,452.0,False
2005,502,Stapleton - St. George,292.1,223.0,False
2005,205,Sunset Park,123.4,118.0,False
2005,309,Union Square - Lower East Side,165.7,140.0,False
2005,305,Upper East Side,99.1,118.0,False
2005,304,Upper West Side,233.7,279.0,False
2005,301,Washington Heights,518.7,865.0,False
2005,402,West Queens,238.4,754.0,False
2005,211,Williamsburg - Bushwick,712.6,1148.0,False
2005,503,Willowbrook,105.2,52.0,False
2006,404,Bayside - Little Neck,91.6,38.0,False
2006,203,Bedford Stuyvesant - Crown Heights,697.1,1501.0,False
2006,209,Bensonhurst - Bay Ridge,50.5,60.0,False
2006,206,Borough Park,40.5,122.0,False
2006,208,Canarsie - Flatlands,348.0,398.0,False
2006,302,Central Harlem - Morningside Heights,820.3,814.0,False
2006,306,Chelsea - Clinton,238.1,110.0,False
2006,210,Coney Island - Sheepshead Bay,102.9,171.0,False
2006,105,Crotona - Tremont,963.1,1717.0,False
2006,202,Downtown - Heights - Slope,227.7,328.0,False
2006,207,East Flatbush - Flatbush,414.2,813.0,False
2006,303,East Harlem,926.5,666.0,False
2006,204,East New York,650.2,896.0,False
2006,403,Flushing - Clearview,167.1,225.0,False
2006,103,Fordham - Bronx Pk,562.1,1146.0,False
2006,406,Fresh Meadows,157.8,98.0,False
2006,307,Gramercy Park - Murray Hill,129.5,59.0,False
2006,201,Greenpoint,223.2,223.0,False
2006,308,Greenwich Village - SoHo,40.8,14.0,False
2006,106,High Bridge - Morrisania,1165.7,1981.0,False
2006,107,Hunts Point - Mott Haven,1063.9,1176.0,False
2006,408,Jamaica,475.0,831.0,False
2006,101,Kingsbridge - Riverdale,240.3,134.0,False
2006,401,Long Island City - Astoria,275.2,309.0,False
2006,310,Lower Manhattan,129.4,36.0,False
2006,102,Northeast Bronx,529.3,615.0,False
2006,104,Pelham - Throgs Neck,583.6,1165.0,False
2006,501,Port Richmond,369.2,186.0,False
2006,405,Ridgewood - Forest Hills,192.2,273.0,False
2006,410,Rockaways,483.9,396.0,False
2006,504,South Beach - Tottenville,67.0,71.0,False
2006,409,Southeast Queens,340.5,360.0,False
2006,407,Southwest Queens,373.9,630.0,False
2006,502,Stapleton - St. George,245.6,186.0,False
2006,205,Sunset Park,110.5,105.0,False
2006,309,Union Square - Lower East Side,425.0,347.0,False
2006,305,Upper East Side,117.9,140.0,False
2006,304,Upper West Side,211.7,253.0,False
2006,301,Washington Heights,508.6,812.0,False
2006,402,West Queens,272.0,848.0,False
2006,211,Williamsburg - Bushwick,728.7,1148.0,False
2006,503,Willowbrook,114.2,56.0,False
2007,404,Bayside - Little Neck,111.2,46.0,False
