NTA_CODE,NTA_NAME,Households_Below_Poverty,Poverty_percent
50101,Mott Haven-Port Morris,"23,752",43.7
50102,Melrose,"17,284",40.7
50201,Hunts Point,"4,696",34.3
50202,Longwood,"12,751",32.0
50301,Morrisania,"12,615",35.7
50302,Claremont Village-Claremont (East),"10,386",43.2
50303,Crotona Park East,"8,519",29.4
50401,Concourse-Concourse Village,"21,730",31.9
50402,Highbridge,"11,128",33.9
50403,Mount Eden-Claremont (West),"16,703",31.8
50501,University Heights (South)-Morris Heights,"18,886",34.4
50502,Mount Hope,"14,696",30.2
50503,Fordham Heights,"11,171",33.2
50601,West Farms,"8,295",44.8
50602,Tremont,"11,476",36.3
50603,Belmont,"12,919",39.6
50701,University Heights (North)-Fordham,"11,856",25.8
50702,Bedford Park,"14,100",24.8
50703,Norwood,"11,923",29.3
50801,Kingsbridge Heights-Van Cortlandt Village,"8,852",25.1
50802,Kingsbridge-Marble Hill,"6,977",26.6
50803,Riverdale-Spuyten Duyvil,"2,923",6.8
50901,Soundview-Bruckner-Bronx River,"20,516",30.1
50902,Soundview-Clason Point,"8,756",24.4
50903,Castle Hill-Unionport,"8,413",21.6
50904,Parkchester,"6,446",21.0
51001,Westchester Square,"3,479",22.0
51002,Throgs Neck-Schuylerville,"6,854",14.4
51003,Pelham Bay-Country Club-City Island,"2,732",9.8
51004,Co-op City,"3,436",9.5
51101,Pelham Parkway-Van Nest,"5,097",16.7
51102,Morris Park,"2,569",11.5
51103,Pelham Gardens,"3,597",12.6
51104,Allerton,"8,871",24.6
51201,Williamsbridge-Olinville,"12,984",21.0
51202,Eastchester-Edenwald-Baychester,"8,435",15.1
51203,Wakefield-Woodlawn,"7,468",15.2
470101,Greenpoint,"3,480",9.3
470102,Williamsburg,"9,962",15.8
470103,South Williamsburg,"23,599",50.3
470104,East Williamsburg,"13,537",25.4
470201,Brooklyn Heights,911,4.0
470202,Downtown Brooklyn-DUMBO-Boerum Hill,"6,059",16.0
470203,Fort Greene,"6,238",18.5
470204,Clinton Hill,"2,430",9.4
470301,Bedford-Stuyvesant (West),"23,143",26.0
470302,Bedford-Stuyvesant (East),"20,405",22.2
470401,Bushwick (West),"11,345",20.7
470402,Bushwick (East),"15,284",24.3
470501,Cypress Hills,"8,215",19.3
470502,East New York (North),"11,343",25.5
470503,East New York-New Lots,"13,106",25.3
470504,Spring Creek-Starrett City,"3,990",25.2
470505,East New York-City Line,"12,495",26.0
470601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"9,062",14.5
470602,Park Slope,"3,030",5.1
470701,Windsor Terrace-South Slope,"2,126",7.9
470702,Sunset Park (West),"8,292",16.4
470703,Sunset Park (Central),"10,594",23.2
470801,Prospect Heights,"1,755",7.3
470802,Crown Heights (North),"17,694",20.5
470901,Crown Heights (South),"8,940",17.4
